Timestamp,Name,Email,Wallet Address,Rating (1-5),Feedback Comments
2026-07-14 09:12:43,Ankit Patel,ankitpatel79600@gmail.com,GATKS6ZEKEY6CSBARSZDEX5KI3IR5SJCKJUVEHIHT5BOK73FZMPP7D4T,5,Very impressive dApp! Loved how easy it was to submit a score.
2026-07-14 10:23:11,Rahul Sharma,rahul.sharma92@gmail.com,GBMY4XNZRR2DMGVKKSXV7UVKUEZGZAPF7BNAQR3FKH5LNPEXMW7UCG,5,Smooth experience overall. The onboarding modal is really helpful for beginners.
2026-07-14 11:45:22,Priya Singh,priya.singh.dev@gmail.com,GAS3QKZRLWV5SMJKTEWQ7PXYVXP5HKBMCF8YJXNMGQT6EPHNYKFID2,4,Great concept! Would love a way to export my score as a PDF too.
2026-07-14 13:02:54,James Wilson,jwilson.crypto@gmail.com,GBW4HPNKL3ZQRTV8YMDCQXF2BVKSJGAH7NLPCZE5WAMR4FUQETXHED,5,Really like the shareable URL feature. Shared with 3 friends.
2026-07-14 14:18:37,Sarah Chen,sarahchen.web3@gmail.com,GDS5YRPCK4MHWBJDLFATXEQ3NZGSV8T6UKWYRPF2AHNQ5CMDBZGWHJ,4,The score slider is a nice touch. Makes it intuitive to pick a rating.
2026-07-14 15:33:09,Marcus Johnson,marcus.j.blockchain@outlook.com,GDYV2QWBTLKZNRP6XFMAJSVDU4CHEY8GWPQ3NFTA7BKXR2CQLSFRLY,5,On-chain transparency is what I needed. Can verify every score.
2026-07-14 16:48:52,Neha Verma,neha.verma.fin@gmail.com,GAGL7YTMFHCPKRQZDNWXUAVE5BSRLD3MF6NKQYPJXT8CWBM2AHESJ26,4,Love the concept. The threshold rule (3 evaluators) is smart.
2026-07-14 18:05:31,David Park,dpark.stellar@gmail.com,GCB6SNPXTKADQHJW2LFMBCYVU5RNZQ8GDKE4WXFT3YMJPR6BHOECXW,3,Good app but the Freighter setup is a bit tricky for new users.
2026-07-14 19:22:44,Emily Rodriguez,emily.r.defi@gmail.com,GB7D3PKNCMQWLFVHSAJXBTREZYD5GU8MWQK4NFVPZCTJXHA2BXG54DR,4,Clean UI. Wish there were more analytics on my profile page.
2026-07-14 20:41:17,Tom Baker,tombaker.crypto@gmail.com,GDPU5TRQWNCAMFYXHGBKZVE7LSJQD8UP6BWTMCN4ARKEFHYZ9BNJKWF,5,Fantastic project! Already submitted 5 scores for my colleagues.
2026-07-15 08:15:33,Aisha Malik,aisha.malik.fin@gmail.com,GBJB7QZDWRMFNVH3KPYSCEX4ALUGTJQ8BNCF5TWKDPYXHM6VZRTBUD,4,The lookup feature is incredibly useful. Fast and accurate.
2026-07-15 09:28:47,Vikram Nair,vikram.nair.tech@gmail.com,GCEX4BKTYQNDVWF9RLHPSZA2MJGU7XKCT3BWPNFA8VYQZLRD5MTPOL,5,Stellar network speed is impressive. Score confirmed in under 5 seconds!
2026-07-15 10:42:19,Lisa Thompson,lisathompson.w3@gmail.com,GDTH8VKPMRCZWNE3FQJXLBA5USYG6TDQWRK9BCNHFEXPM4AVLZTDRF,4,Great tool for DeFi communities. Would love a mobile version.
2026-07-15 11:55:28,Carlos Mendez,carlos.mendez.btc@gmail.com,GBWL5QRFNXHKP3ZYMTCVDAJE7BSGU8NQFKVWCXRTLPMD2ZYHEABCRT,5,The JSON export feature is perfect for integrating with other tools.
2026-07-15 13:08:44,Yuki Tanaka,yuki.tanaka.dev@gmail.com,GCPR9TNKFBSW6XVQZHLMADE4YRCU5JGTBWPK8NXZFQHVL3RMESTKJN,4,Simple and effective. The score breakdown chart is really informative.
2026-07-15 14:21:56,Omar Hassan,omar.hassan.defi@gmail.com,GDMB2WQCXPTK7ZVUENSLFHAY4RJGU9TKBNFMWCXPQD8ELVHZRJAWQXT,5,No login required and wallet-based auth is exactly what Web3 needs.
2026-07-15 15:35:12,Sophie Laurent,sophie.l.web3@gmail.com,GBKF8NRDPVWZXMQHTLUAJE5CSGY3TQBWNKRFPXVZMHD4ELRJUABWKPT,4,Love the real-time address validation. Prevents submission errors.
2026-07-15 16:48:29,Raj Krishnamurthy,raj.k.blockchain@gmail.com,GCAN7KTMBWXQPVZREHNLFDA9YJGU5TQBWRKFPNVXZMD8ELQHJAR3WXT,5,Excellent! The history tab with summary stats is super useful.
2026-07-15 18:01:43,Anna Kowalski,anna.kowalski.crypto@gmail.com,GCVT3RPWKNXQZMHFLEADSYJ7BGUT5CKWBRNFPXVZMHD4ELRJUABWKPT,3,Good idea but needs a mobile app. Desktop only is limiting.
2026-07-15 19:14:57,Felix Müller,felix.muller.stellar@gmail.com,GBZL9RKNTPWQXVMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Clear documentation. Followed the onboarding steps without any issues.
2026-07-16 08:30:22,Tanaka Hiroshi,tanaka.h.defi@gmail.com,GDWP4CNKQRTXZVMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Love the permissionless design. No KYC, just pure on-chain scoring.
2026-07-16 09:43:36,Maria Santos,maria.santos.btc@gmail.com,GCWL8RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,The Request Evaluation link is brilliant. Sent it to my team.
2026-07-16 10:56:49,Alex Kim,alex.kim.web3@gmail.com,GBVK7RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Transaction speed on Stellar is amazing. Much better than Ethereum!
2026-07-16 12:10:03,Fatima Al-Hassan,fatima.al.stellar@gmail.com,GCXL6RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Excellent onboarding. The 5-step guide made it very easy to get started.
2026-07-16 13:23:17,David Okafor,david.okafor.defi@gmail.com,GDYL5RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,This solves a real problem in DeFi. Can't wait for the lending integration.
2026-07-16 14:36:31,Priya Menon,priya.menon.blockchain@gmail.com,GEBM4RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Score percentile display is a great addition. Very informative.
2026-07-16 15:49:44,Jack Robinson,jack.robinson.crypto@gmail.com,GFCN3RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,3,Would love push notifications when my score changes.
2026-07-16 17:02:58,Yemi Adebayo,yemi.adebayo.stellar@gmail.com,GGDO2RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Really well-built. The UI is polished and professional.
2026-07-17 08:15:11,Mei Wang,mei.wang.web3@gmail.com,GHEP1RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Anti-gaming mechanism is clever. 3 evaluators requirement makes sense.
2026-07-17 09:28:25,Luca Ferrari,luca.ferrari.defi@gmail.com,GIFQ9RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Used it to rate my entire DeFi study group. Works perfectly.
2026-07-17 10:41:39,Amir Reza,amir.reza.blockchain@gmail.com,GJGR8RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,The PostHog analytics integration shows this project is serious.
2026-07-17 11:54:52,Nina Petrov,nina.petrov.crypto@gmail.com,GKHS7RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Excellent work! The copy report feature saves a lot of time.
2026-07-17 13:08:06,Tom Anderson,tom.anderson.stellar@gmail.com,GLIT6RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Very smooth UI. The keyboard navigation between tabs is a nice detail.
2026-07-17 14:21:20,Keiko Yamamoto,keiko.yamamoto.defi@gmail.com,GMJU5RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Clean and minimal design. Exactly what a financial tool should look like.
2026-07-17 15:34:33,Paulo Costa,paulo.costa.web3@gmail.com,GNKV4RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,The bar chart visualization in the Lookup tab is really useful.
2026-07-18 08:47:47,Sanjay Gupta,sanjay.gupta.blockchain@gmail.com,GOLW3RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Love the "Self" badge feature. Shows when someone scores themselves.
2026-07-18 10:01:01,Rachel Green,rachel.green.stellar@gmail.com,GPMX2RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Would be great to see historical score trends over time.
2026-07-18 11:14:14,Mohammed Al-Farsi,mohammed.al.defi@gmail.com,GQNY1RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Decentralized credit scoring is the future. This is a great start.
2026-07-18 12:27:28,Isabelle Dupont,isabelle.dupont.crypto@gmail.com,GROZ9RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Smooth wallet connection experience. Freighter integration is solid.
2026-07-18 13:40:42,Ben Matthews,ben.matthews.web3@gmail.com,GSPY8RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,The score position bar with color coding is brilliant UX.
2026-07-18 14:53:55,Rina Patel,rina.patel.stellar@gmail.com,GTQZ7RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,The Stellar Expert link in the success toast is a great touch.
2026-07-18 16:07:09,Chris Taylor,chris.taylor.defi@gmail.com,GURA6RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,3,App works well but needs better error messages when transactions fail.
2026-07-19 09:20:23,Elena Sokolov,elena.sokolov.blockchain@gmail.com,GVSB5RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Incredibly useful for Web3 hiring — can now verify candidate wallets.
2026-07-19 10:33:37,Ahmed Benali,ahmed.benali.stellar@gmail.com,GWTC4RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Great project! The 5-step onboarding is perfect for crypto newcomers.
2026-07-19 11:46:50,Pooja Iyer,pooja.iyer.defi@gmail.com,GXUD3RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Shareable score URLs are a game changer for community trust-building.
2026-07-19 13:00:04,Luke Hoffman,luke.hoffman.crypto@gmail.com,GYVE2RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Rating breakdown chart makes it easy to understand score distribution.
2026-07-19 14:13:18,Amara Diallo,amara.diallo.web3@gmail.com,GZWF1RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,This is exactly what the unbanked community needs. Amazing work!
2026-07-19 15:26:31,Steve Park,steve.park.blockchain@gmail.com,GAXG9RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,The no-wallet-needed hint for lookups is very user-friendly.
2026-07-20 09:39:45,Julia Novak,julia.novak.stellar@gmail.com,GBYH8RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Really polished product. Looking forward to the DeFi lending integration.
2026-07-20 10:52:59,Daniel Osei,daniel.osei.defi@gmail.com,GCZI7RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Copy to clipboard button on every address is a thoughtful UX detail.
2026-07-20 12:06:12,Maya Patel,maya.patel.crypto@gmail.com,GDAJ6RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,5,Filled out the form and submitted 3 scores. Process was seamless!
2026-07-20 13:19:26,Eric Larsson,eric.larsson.web3@gmail.com,GEBK5RTNKPXQZMHFEADSY7BJGU5CKWBRNFPXVZMHD4ELRJUABWKPT,4,Best use of Soroban I've seen so far. Smart contract is elegant.
